Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
Cc1cc(C)n(C(=O)CSc2nc3ccccc3o2)n1,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.O.[Na+],Potency,'=',5011.9,nM,5.3,assay format,Beta-lactamase AmpC
Nc1nc2c(s1)CCc1c-2cnn1-c1ccccc1,Potency,'=',89125.1,nM,4.05,assay format,Beta-lactamase AmpC
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,Potency,'=',1800.0,nM,5.75,assay format,Beta-lactamase AmpC
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,Potency,'=',17782.8,nM,4.75,assay format,Beta-lactamase AmpC
COc1cccc(Cn2ncc3c4sc(B(O)O)cc4n(C)c3c2=O)c1,Potency,'=',1122.0,nM,5.95,assay format,Beta-lactamase AmpC
CSc1ccccc1NC(=O)c1noc2c1CCC2,Potency,'=',25118.9,nM,4.6,assay format,Beta-lactamase AmpC
Cc1ccc(N/N=C(/Sc2nnnn2-c2ccccc2)C(=O)c2ccccc2)cc1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccc(C)cc2)cc1,Potency,'=',8912.5,nM,5.05,assay format,Beta-lactamase AmpC
CC(C)(C)c1cc(CN2CCN(CCC#N)CC2)cc(C(C)(C)C)c1O,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1.[Na+],Potency,'=',7079.5,nM,5.15,assay format,Beta-lactamase AmpC
CN1C(=O)/C(=N/OC(=O)c2ccccc2Br)c2ccccc21,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
CCO/C(O)=C(/C)C1=NC(C)(C)Cc2ccccc21.I,Potency,'=',25118.9,nM,4.6,assay format,Beta-lactamase AmpC
COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
COC(=O)CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,Potency,'=',9400.0,nM,5.03,assay format,Beta-lactamase AmpC
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N\c1ccccc1,Potency,'=',14125.4,nM,4.85,assay format,Beta-lactamase AmpC
N=C1/C(=C/c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cn1c2cc(B(O)O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,Potency,'=',2818.4,nM,5.55,assay format,Beta-lactamase AmpC
O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)N1CCC2(O)CCCCC2C1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
CCc1ccccc1-n1c(SCC(=O)NC)nnc1-c1cccnc1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
CC(O)C(C(=O)OCc1ccc([N+](=O)[O-])cc1)N1C(=O)c2ccccc2C1=O,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
CCc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)c2oc3ccccc3c2n1.Cl,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1cc(C)c2c(=O)n(CC(=O)N3CCC(N4CCCCC4)CC3)sc2n1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
COC(=O)/C=c1/sc2nc3ccccc3n2c1=O,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
NC(Cc1cc(O)c(O)cc1O)C(=O)O,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1ccccc1N1C(=O)/C(=C/c2ccco2)C(=O)NC1=S,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
CC(C)(C)c1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,Ki,'=',11000.0,nM,4.96,assay format,Beta-lactamase AmpC
