SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
Cc1ccc(-n2ncc(C(=O)Nc3ccc4c(c3)OCCO4)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1C,MOL0001,OK,532.6410000000004,5.627140000000006,1,7,94.92,4
Cc1cc(C)cc(OCC(=O)Nc2cccc3cccnc23)c1,MOL0002,OK,306.36500000000007,3.8691400000000025,1,3,51.22,4
CCOC(=O)c1cc(-c2ccc(C)cc2)n(CCC(=O)NCc2ccccc2)c1C,MOL0003,OK,404.5100000000001,4.655140000000004,1,4,60.33,8
Cc1cccc(C)c1NC(=O)c1nc(SC(C)C)ncc1Cl,MOL0004,OK,335.86,4.499640000000003,1,4,54.88,4
COC(=O)c1cc2sccc2n1Cc1nc(-c2cccc(Cl)c2)oc1C,MOL0005,OK,386.8600000000001,5.154520000000002,0,6,57.260000000000005,4
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(CC(=O)c3c(N)n(Cc4ccccc4)c(=O)n(C)c3=O)CC2)c1C,MOL0006,Filter82_pyridinium > 0,553.6850000000002,1.6003800000000008,1,9,127.71000000000001,7
O=C1CSC2(C(=O)N(Cc3cccc(C(F)(F)F)c3)c3ccccc32)N1c1ccc(F)c(F)c1,MOL0007,OK,490.4530000000001,5.463200000000003,0,3,40.620000000000005,3
O=C(c1ccc2c(c1)N(Cc1ccc(F)cc1)C(=O)c1ccccc1S2(=O)=O)N1CCN(c2ccccn2)CC1,MOL0008,OK,556.619,4.176300000000003,0,6,90.89,4
CCOc1ccccc1NC(=O)CSc1nc2c(oc3ccccc32)c(=O)n1C(C)C,MOL0009,Filter82_pyridinium > 0,437.5210000000002,4.853100000000005,1,7,86.36000000000001,7
CC1=C(c2ccc(Cl)cc2)S(=O)(=O)N=C1N1CCN(c2cc(C)ccc2C)CC1,MOL0010,OK,429.9730000000003,4.251940000000004,0,4,52.980000000000004,2
Cc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)c2cccc(C)c2)cc1,MOL0011,OK,380.4910000000001,5.572640000000004,1,1,36.1,2
CCc1ccc(NC(=O)c2cnn(-c3c(C)cccc3C)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1,MOL0012,OK,502.65900000000045,6.418340000000007,1,5,76.46000000000001,5
COc1ccc(S(=O)(=O)N2CCC(Oc3ccc(-n4cnnn4)cc3)CC2)cc1,MOL0013,OK,415.47500000000014,1.9029999999999998,0,8,99.44,6
CCOc1cc(C2c3c(oc4ccccc4c3=O)C(=O)N2Cc2ccc(OC)cc2)ccc1O,MOL0014,Filter14_thio_oxopyrylium_salt > 0,457.4820000000002,4.651300000000004,1,6,89.21000000000001,6
CCCC(=O)Nc1ccc2nc(SCC(=O)N3CCOCC3)sc2c1,MOL0015,OK,379.5070000000002,2.985800000000001,1,6,71.53,6
CSc1ccc(CCNC(=O)CCCn2nc(C)c3sc4ccccc4c3c2=O)cc1,MOL0016,Filter82_pyridinium > 0,451.61700000000013,4.780620000000004,1,6,63.99,8
COc1ccc(CCn2c3c(c(=O)[nH]c2=O)C(NC(=O)c2ccc(Cl)cc2)(C(F)(F)F)C(=O)N3)cc1OC,MOL0017,Filter82_pyridinium > 0,552.8930000000001,2.5896,3,7,131.51999999999998,7
CCCN1CCN(CCNC(=O)Nc2cc(C)ccc2OC)CC1,MOL0018,OK,334.46400000000017,2.1527200000000004,2,4,56.84,7
Cc1ccc(CNC(=O)C2CCCN(c3nnc(-n4c(C)ccc4C)s3)C2)cc1,MOL0019,OK,409.55900000000014,3.7868600000000026,1,6,63.050000000000004,5
O=C(NCc1ccccc1)c1nnc(Cc2cccc(F)c2)o1,MOL0020,OK,311.31600000000003,2.7295000000000007,1,4,68.02000000000001,5
CCN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)CCOc1ccc(C)cc1,MOL0021,OK,408.4200000000002,4.2699200000000035,1,3,58.64,8
COc1ccc(-n2cc(C(=O)NCCc3ccc(C)cc3)c3ccccc3c2=O)cc1,MOL0022,OK,412.4890000000001,4.2802200000000035,1,4,60.33,6
CCOc1ccc(-c2csc(-c3nc(-c4ccc(Br)s4)cs3)n2)cc1,MOL0023,Filter9_metal > 0,449.42,6.823300000000004,0,6,35.010000000000005,5
C=CCc1ccc(OCc2ccc(C(=O)Nc3ccc(NC(C)=O)cc3)o2)c(OC)c1,MOL0024,OK,420.46500000000015,4.806400000000004,2,5,89.80000000000001,9
