Smiles,pChEMBL_Value
C#CCOc1ccc(C2CC(=O)Nc3c2c(C)nn3-c2nc(C)cc(C)n2)cc1,4.7
C#CCSc1nc(-c2ccccc2)c2cc(Cl)ccc2n1,4.0
C#CCn1/c(=N/C(=O)c2ccc3c(c2)OCCO3)sc2cc(OC)c(OC)cc21,4.6
C#CCn1c(/C=C/c2ccc(Cl)cc2)nc2ccccc21,6.1
C/C=C(\C)CN1CCc2cc(OC)c(OC)cc2C1,4.2
C=CCN1C(=O)/C(=C2/Sc3ccccc3N2C)S/C1=N\c1c(C)n[nH]c1C,4.4
C=CCc1ccc(OCc2ccc(C(=O)Nc3ccc(NC(C)=O)cc3)o2)c(OC)c1,5.75
C=Cc1ccc(Cn2c(C(=O)OC)cc3sc(C)cc32)cc1,4.8
CC(=O)N1CCCC1c1nc2ccccc2n1Cc1ccc(F)cc1,4.05
CC(=O)N1CCCC1c1nc2ccccc2n1Cc1cccc(C)c1,4.4
CC(=O)N1CCCC1c1nc2ccccc2n1Cc1ccccc1,4.05
CC(=O)N1CCCC1c1nc2ccccc2n1Cc1ccccc1C,4.05
CC(=O)N1CCCC1c1nc2ccccc2n1Cc1ccccc1F,4.0
CC(=O)N1CCN(c2ccccc2NC(=O)Cc2ccc(Cl)cc2)CC1,5.35
CC(=O)N1CCOc2cc(S(=O)(=O)NCc3ccc(F)cc3)c(C)cc21,6.5
CC(=O)N1CCOc2cc(S(=O)(=O)NCc3ccccc3Cl)c(Cl)cc21,5.45
CC(=O)N1CCOc2cc(S(=O)(=O)Nc3c(C)cccc3C(C)C)c(Cl)cc21,4.0
CC(=O)N1CCOc2cc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3Cl)c(C)cc21,3.95
CC(=O)N1CCOc2cc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)c(Cl)cc21,3.95
CC(=O)N1CCc2cc(CNC(=O)Nc3cc(Cl)ccc3C)ccc21,3.95
CC(=O)N1CCc2cc(CNS(=O)(=O)c3ccccc3C(F)(F)F)ccc21,4.35
CC(=O)N1c2ccccc2CC1C(=O)N1CCN(c2ccc(F)cc2)CC1,4.3
CC(=O)N1c2ccccc2CC1C(=O)NCc1cccc(Cl)c1,4.05
CC(=O)NC(Cc1ccccc1)C(=O)NC1CCN(C(=O)c2cnccn2)CC1,4.75
CC(=O)NCCNc1nc2c(S(=O)(=O)c3ccc(C)c(C)c3)nnn2c2ccc(Cl)cc12,6.2
CC(=O)NCCc1nc2ccccc2n1CCCCOc1ccc(Cl)cc1,6.25
CC(=O)Nc1c(C(=O)Nc2cccc(C)c2)nnn1-c1ccc(C)cc1,3.95
CC(=O)Nc1cc(C(=O)N2CCC3(CC2)OCCO3)ccc1Sc1ccc(F)cc1,6.2
CC(=O)Nc1cc(NC(C)=O)cc(-c2nc3ccccc3[nH]2)c1,6.25
CC(=O)Nc1ccc(/C=C/c2nc(-c3ccccc3O)n(-c3ccccc3)n2)cc1,4.0
CC(=O)Nc1ccc(/C=C/c2noc(-c3ccccc3O)n2)cc1,4.0
CC(=O)Nc1ccc(NC(=O)C2CCN(c3c(NC(C)=O)c(C)nn3-c3ccccc3)CC2)cc1,6.2
CC(=O)Nc1ccc(NC(=O)C2CCN(c3cnccn3)CC2)cc1,4.4
CC(=O)Nc1ccc(NC(=O)CN2C(=O)CC(c3ccco3)Sc3ccccc32)cc1,6.2
