Smiles,pChEMBL_Value
Br.C/N=c1\sc(C(=O)Nc2cccc(Cl)c2)cc(=O)n1C,4.0
Br.C1CN=C(NC23CC4CC(CC(C4)C2)C3)C1,6.2
Br.C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,5.95
Br.C=CCn1c(=N)n(CC(=O)OCC)c2ccccc21,4.4
Br.C=CCn1c(=N)n(CC(=O)c2ccccc2)c2ccccc21,3.95
Br.CC(C)(C)C(=O)Cn1c(NCCCO)nc2ccccc21,4.0
Br.CC(C)c1nnc2n1N=C(c1ccc(Cl)cc1)CS2,3.95
Br.CC(Sc1nnc(COc2ccc3ccccc3c2)n1C)C(=O)O,6.2
Br.CC1(C(=O)CSc2nc[nH]n2)CCC(=O)O1,3.95
Br.CC12CN3CC(C)(CN(C1)C3c1cc3ccccc3[nH]1)C2=O,6.2
Br.CC1=CS(=O)(=O)CC1Sc1nc2ccccc2[nH]1,4.05
Br.CC1CN2C(c3ccc(Cl)cc3)=CSC2=N1,6.2
Br.CCC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(O)c3)n2)s1,4.0
Br.CCC(C)N1Cc2ccccc2C1=N,5.3
Br.CCCCCCCC1CC(CSC(=N)N)OC1=O,4.65
Br.CCCCN1C2=NCCCN2c2cc(C)c(C)cc21,4.0
Br.CCCCn1c(=N)n(CC(=O)C(C)(C)C)c2ccccc21,4.6
Br.CCCCn1c(=N)n(CCOc2ccc(C)cc2)c2ccccc21,6.2
Br.CCCN(CCC)C1CCc2ccc(O)cc2C1,5.3
Br.CCCc1nnc2n1N=C(c1ccc(C)cc1)CS2,6.15
Br.CCN(CC)CCN1Cc2ccccc2C1=N,4.35
Br.CCN(CC)CCn1c(=N)n(CC(=O)c2ccc(C)cc2)c2ccccc21,6.2
Br.CCOc1ccc(/N=c2\scc(-c3ccccc3)n2CCO)cc1,5.6
Br.CCn1c(=N)n(CC(=O)OC)c2ccccc21,4.55
Br.CCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,4.0
Br.CN1CCc2cc3c(c4c2[C@H]1[C@H](O)c1ccccc1-4)OCO3,4.8
Br.COC(=O)c1ccc(CN2CCSC2=N)cc1,5.5
Br.CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1,5.3
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,4.15
Br.COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,4.0
Br.COc1ccc(/N=c2\scc(-c3ccc(OC)cc3)n2CCO)cc1,4.25
Br.COc1ccc(C(=O)Cn2c(NCCO)nc3ccccc32)cc1OC,4.55
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,5.15
Br.COc1ccc(C2=CSC3=NCCN23)cc1F,4.3
Br.COc1ccc(C2=CSC3=NCCN23)cc1OC,5.35
Br.COc1ccc(CNCc2ccc(F)cc2)c(OC)c1,6.15
Br.COc1ccc(NC2=NCCCCC2)cc1,5.5
Br.COc1ccc(Nc2nc(-c3sc(NC(C)=O)nc3C)cs2)cc1,6.2
Br.COc1cccc(C(=O)CN2C3=NCCCN3c3ccccc32)c1,5.5
Br.COc1cccc(C(=O)Cn2c(NCCCO)nc3ccccc32)c1,5.55
Br.COc1cccc(CNCC2CCCO2)c1,5.85
Br.Cc1ccc(-c2csc3nc(=O)c(C)nn23)cc1,6.5
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,4.45
Br.Cc1ccc(N2Cc3ccccc3C2=N)cc1[N+](=O)[O-],5.6
Br.Cc1ccc(SCc2cn3c(C)csc3n2)cc1,5.4
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,5.05
Br.Cc1nc(C)c(-c2csc(Nc3ccc(N)cc3)n2)s1,5.6
Br.Cc1nc2ncccn2c1-c1csc(Nc2ccc(S(N)(=O)=O)cc2)n1,6.15
