Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
Cc1ccc(-n2ncc(C(=O)Nc3ccc4c(c3)OCCO4)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1C,Potency,'=',7943.3,nM,5.1,assay format,Beta-lactamase AmpC
Cc1cc(C)cc(OCC(=O)Nc2cccc3cccnc23)c1,Potency,'=',89125.1,nM,4.05,assay format,Beta-lactamase AmpC
CCOC(=O)c1cc(-c2ccc(C)cc2)n(CCC(=O)NCc2ccccc2)c1C,Potency,'=',1258.9,nM,5.9,assay format,Beta-lactamase AmpC
Cc1cccc(C)c1NC(=O)c1nc(SC(C)C)ncc1Cl,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
COC(=O)c1cc2sccc2n1Cc1nc(-c2cccc(Cl)c2)oc1C,Potency,'=',1258.9,nM,5.9,assay format,Beta-lactamase AmpC
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(CC(=O)c3c(N)n(Cc4ccccc4)c(=O)n(C)c3=O)CC2)c1C,Potency,'=',631.0,nM,6.2,assay format,Beta-lactamase AmpC
O=C1CSC2(C(=O)N(Cc3cccc(C(F)(F)F)c3)c3ccccc32)N1c1ccc(F)c(F)c1,Potency,'=',7079.5,nM,5.15,assay format,Beta-lactamase AmpC
O=C(c1ccc2c(c1)N(Cc1ccc(F)cc1)C(=O)c1ccccc1S2(=O)=O)N1CCN(c2ccccn2)CC1,Potency,'=',1584.9,nM,5.8,assay format,Beta-lactamase AmpC
CCOc1ccccc1NC(=O)CSc1nc2c(oc3ccccc32)c(=O)n1C(C)C,Potency,'=',1412.5,nM,5.85,assay format,Beta-lactamase AmpC
CC1=C(c2ccc(Cl)cc2)S(=O)(=O)N=C1N1CCN(c2cc(C)ccc2C)CC1,Potency,'=',15.8,nM,7.8,assay format,Beta-lactamase AmpC
Cc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)c2cccc(C)c2)cc1,Potency,'=',631.0,nM,6.2,assay format,Beta-lactamase AmpC
